Age,Date,A,B,C,D,E
59,1972-05-22,1300.1,750.6,1622.7,1793.7,
42,1986-08-21,849.9,525.7,1348.6,,886.1
56,2008-01-16,405.4,,616.2,,609.2
36,1973-02-15,1132.4,,1461.9,1699.9,1193.8
39,2003-03-19,,,,796.5,
30,2019-02-23,,,331.0,275.0,407.3
49,2009-07-28,,,661.4,556.5,
33,1998-09-17,,,901.2,900.7,
46,1976-06-23,,,,1635.8,
65,2015-01-26,220.3,225.3,,362.2,
57,1987-02-04,,583.0,1237.9,,
54,1986-07-12,986.7,,1220.7,1284.9,1019.7
47,1970-08-13,,,,1889.7,1193.5
38,1993-10-14,716.2,,,,
54,2019-01-08,,181.4,,250.7,
39,2005-09-14,,339.8,684.7,703.1,
45,1972-02-21,1198.3,,,,
59,1974-04-25,,,,,1077.3
67,1996-07-28,,468.9,915.9,,
55,1980-08-02,,669.9,,1385.5,
66,2003-09-10,507.7,388.5,756.2,709.8,
36,1972-07-05,,,1499.8,1564.7,1063.0
42,2019-01-29,132.7,,,261.1,
61,1999-07-17,,366.9,890.8,891.6,701.3
32,2008-06-05,382.9,,608.6,554.3,
28,1973-03-15,,,,,1102.5
39,1987-07-11,,,,1368.1,
16,1982-02-18,,,1317.7,1486.4,1083.6
27,2013-04-14,,230.8,,464.3,
33,1971-08-14,,,1675.0,,
18,1996-04-09,732.1,,,,
65,2014-11-20,,199.7,,,
26,1985-12-22,,,,1214.1,954.8
65,1982-09-20,,,1393.6,1373.1,1074.1
42,1970-05-25,,,1600.8,1948.9,1170.0
33,1991-07-31,,467.2,,,
57,1985-07-20,,574.5,,1378.3,962.3
21,1975-05-24,,,,,1018.3
57,2016-08-06,185.5,196.7,391.8,328.8,
19,1970-04-20,,695.7,1586.1,,
32,1996-08-19,725.1,423.3,,1052.6,775.8
44,1993-04-15,,,,,827.1
67,1979-01-08,,584.0,1584.9,,994.3
57,1971-04-19,,704.4,1770.7,,1264.8
52,2001-02-03,,362.0,910.1,,659.6
52,1990-07-30,,493.6,,,936.6
34,1998-11-07,,443.3,,,
21,2001-12-18,517.7,366.1,890.0,735.6,666.4
66,1970-06-18,1261.3,,1536.5,1946.1,
51,1975-11-29,,618.4,1536.4,,
27,1978-05-28,1077.3,,,1423.6,
32,2003-08-12,,338.0,835.4,734.0,734.1
53,1987-06-09,919.5,,1234.5,1259.3,894.5
62,2020-11-09,103.1,158.8,330.1,,
46,1988-04-15,,,1253.9,,907.9
15,1991-09-22,,510.9,1128.6,,
55,2006-02-03,430.3,295.9,,,596.8
60,1978-05-16,,637.3,1547.5,1673.6,983.7
17,1974-08-01,1300.5,671.2,1570.6,1734.2,
50,1970-01-18,,,,1940.6,
29,2002-04-11,,381.5,,,754.3
15,2002-01-21,,398.2,858.4,,
35,1989-06-13,775.5,522.9,1146.5,,
50,1981-07-25,1089.7,634.6,,,
16,1997-05-31,,,,,833.4
63,1980-11-20,1110.9,683.8,1320.1,,
58,1987-06-14,896.3,,1244.8,1312.0,
44,1981-10-04,,,,1478.9,966.2
15,2011-01-24,,,,,543.0
28,2000-11-27,562.3,381.4,,,736.4
66,2009-06-11,,305.9,,552.5,
42,2015-12-24,,204.6,,370.9,507.1
34,1984-01-09,1064.2,,,,889.4
55,1972-08-06,1334.3,,1739.6,,
47,1988-08-02,,582.8,1119.8,,
42,2011-03-20,,,596.2,,
60,2003-12-07,514.9,338.7,,749.1,696.6
35,1979-12-16,,,,1345.8,
50,2020-07-29,,150.1,337.8,,
40,2016-11-06,,,,321.4,
65,1987-04-08,,,,,1018.4
21,2013-03-28,,237.5,,,517.7
31,2017-11-11,,,359.2,,
61,1974-02-26,,,1674.1,,
23,2006-06-03,400.6,347.5,707.2,644.7,
43,2018-03-11,174.8,172.1,347.2,,451.7
33,2002-06-07,526.9,,855.1,,632.8
33,2020-04-17,105.5,155.0,314.6,,
18,2002-08-01,495.8,,,,
48,1995-03-27,757.5,,,,734.9
25,1971-09-24,1149.0,,,,1208.1
16,2005-11-20,427.7,,706.6,682.1,676.0
34,1973-04-05,1147.5,,,1694.1,
57,1972-04-28,1149.2,,1671.6,1581.4,
27,2016-03-21,192.6,202.7,449.0,,462.3
61,1987-07-21,947.7,596.3,1118.8,,940.1
58,1983-04-12,,609.0,,,1068.1
30,1999-12-25,539.8,357.6,818.9,,802.1
67,1993-12-09,719.4,,1085.0,,775.1
48,2008-04-03,,325.2,612.5,,548.3
38,1984-04-16,873.8,590.8,1354.1,,
64,1996-04-16,,,,905.9,
48,2013-03-23,,229.3,544.9,486.6,518.8
20,1977-07-08,,603.2,1355.4,1615.6,
37,1987-02-17,960.5,,,1348.3,850.8
43,2001-06-28,,342.7,,855.1,
64,2011-10-09,,,,510.7,
45,1991-06-26,,513.4,,,829.0
32,1973-04-30,1246.1,691.0,,1644.8,1197.9
28,2020-04-01,,,291.7,,
46,2013-02-24,,227.7,472.1,,
19,1972-07-20,,742.6,1573.9,1809.7,1262.6
39,1985-06-17,,,,,1041.5
46,2014-08-15,250.9,,479.1,,
38,2005-01-03,451.9,,,,
35,1982-08-19,,611.2,1335.5,1502.5,
24,1988-03-04,808.1,,1103.3,,
33,2000-06-12,566.5,429.6,942.7,818.9,
41,1992-03-18,,491.7,,999.9,
39,1987-04-01,,559.0,1187.6,1147.0,
48,1987-09-07,,,1322.4,,840.9
49,1992-11-25,,437.4,1068.4,,845.0
16,1983-07-16,1004.9,,1379.1,,1043.6
36,2001-09-17,,,814.5,,
33,1971-03-27,1257.6,,1641.6,,1184.0
30,1993-08-05,738.1,,1114.5,977.9,829.4
24,1996-02-19,617.8,480.0,934.3,983.1,832.7
43,2015-10-10,220.9,,446.2,,
14,1983-04-26,1028.7,,,,
65,1975-02-27,1214.9,685.4,1461.9,1776.3,
54,1977-08-08,,667.7,,,
38,1984-01-01,1047.0,637.3,,,
25,2001-09-30,,,809.1,,
14,1999-04-11,,,,,809.0
55,1980-01-17,,659.2,1349.3,,1104.6
40,1981-06-25,,580.3,1455.6,,
45,1970-09-08,,,,1619.6,1126.0
58,2001-09-26,,,,739.7,
52,1977-04-22,1124.3,728.8,1571.7,1490.9,
40,2020-06-09,109.7,,292.0,225.6,368.9
61,2019-11-26,138.3,,340.7,,
65,1989-07-15,918.7,474.2,1158.6,,
59,1984-11-10,,519.1,1191.2,1451.3,1026.6
63,1972-01-13,,659.3,,,
42,2015-06-01,,207.7,,403.4,533.2
42,2013-03-17,,,467.4,428.4,474.5
24,2014-05-07,281.4,,,382.3,549.7
63,2009-06-21,,293.3,,,
38,1970-03-29,1272.1,,,,
47,2004-12-08,,,,664.8,
28,1999-03-01,580.9,412.9,842.1,,
51,1982-01-28,,,1389.0,,944.9
36,2014-09-21,,221.4,439.6,423.2,
32,2006-01-08,,308.4,,,
25,1984-04-14,923.2,,1247.2,1259.3,
47,1988-08-18,929.7,,,1107.9,949.3
36,1975-11-19,1269.4,,1665.6,1601.3,1145.7
54,2008-03-25,,322.3,673.0,,559.5
15,1991-11-11,861.1,534.2,,1150.0,776.0
60,2014-10-25,,,514.7,422.2,541.1
14,1970-10-21,,,,1630.3,
36,1990-07-24,,516.3,1210.5,,
50,2020-01-27,,,,,374.8
31,2004-10-14,,356.7,,,
18,1997-09-07,,384.8,916.7,,810.1
48,2017-09-19,,179.5,,,
41,1992-03-10,,479.8,,,852.0
61,2016-04-03,194.1,209.5,420.6,,
30,2011-06-22,328.4,248.3,548.2,,
17,1988-09-14,881.1,573.2,,,822.4
53,1975-10-12,,688.7,1458.1,1712.3,
53,2014-06-11,,,496.1,,466.7
21,2011-07-14,308.9,265.3,,,
25,1987-02-08,,587.7,,,982.3
18,1999-09-22,,,,792.4,678.6
36,1981-03-28,,,1297.7,,
57,2018-07-01,155.3,,383.4,296.3,
34,1976-07-11,1207.8,,,,
40,1977-05-14,,,1371.9,1493.9,
43,1994-09-25,770.1,441.9,,,
15,2007-09-05,389.4,,607.0,580.0,
14,1991-04-27,,,1119.0,,817.4
23,2019-03-02,,,354.2,243.4,
55,1974-09-04,,664.1,1566.9,,
40,2019-08-29,130.5,173.8,,228.8,
32,1988-01-17,,487.3,1238.7,,862.3
21,1979-05-11,1132.0,,1514.1,1418.2,
33,1988-06-22,818.4,552.1,,,957.5
65,2005-05-23,,,753.9,,707.2
34,2007-05-14,409.6,308.9,,659.4,
50,1996-08-23,,420.9,,878.9,818.2
32,2010-12-04,311.4,294.2,619.5,,
48,2010-10-11,,,555.3,511.3,567.6
27,1997-02-18,,,,983.9,738.8
45,2007-04-22,419.4,,617.0,644.7,609.9
23,2017-01-15,,190.0,,340.0,
58,1973-07-11,,,,1666.7,1230.5
15,1973-08-27,,,,1738.9,1154.7
57,2001-03-16,,,843.1,,657.8
59,2005-05-28,426.2,,,681.9,592.5
43,1971-09-16,,763.0,,1869.7,
22,2002-12-22,544.4,,,,617.7
48,1992-12-04,792.9,,1109.8,,763.9
17,2001-12-11,508.1,362.9,795.2,796.7,
60,1971-12-28,,777.0,,1816.3,
41,2001-09-21,547.3,410.6,,732.2,
51,2017-06-03,,,398.0,,
59,1972-01-10,1141.4,678.6,,1565.5,
36,1994-06-15,679.4,,1026.3,,747.9
54,1971-09-26,1265.2,,1605.3,,1250.4
57,2004-06-01,,,771.2,,616.2
49,2008-01-20,427.4,282.8,658.1,,622.1
46,1985-03-14,864.7,601.1,1359.1,,
66,2006-08-28,,,749.5,,
66,1982-02-08,1011.1,649.5,,1362.0,
61,1980-09-17,1074.6,660.6,1291.7,1500.0,
31,2003-06-17,548.7,,,,617.0
53,1985-01-22,,,,,1019.2
60,1978-08-20,1069.0,,,,
61,1985-02-23,934.7,581.3,1372.7,1342.7,
61,1977-08-30,,,,1463.7,
58,1990-08-14,,,,,928.3
41,2007-03-23,,,719.1,590.7,623.4
19,1990-08-02,815.8,474.8,,,954.9
25,1978-08-17,,587.3,1417.5,,1137.7
29,2005-04-19,,,,,688.7
66,2004-10-03,,,,730.6,658.7
23,1984-05-08,875.3,,1306.6,1357.7,
67,1982-12-19,,,,1472.2,1016.5
52,2004-01-03,460.0,,,723.9,
56,2009-03-23,373.5,,659.2,603.6,
23,1975-05-25,,708.1,,,
63,2004-05-02,484.8,,746.5,,701.4
14,1982-10-01,,632.7,,,
19,2014-07-01,,,508.0,411.6,464.8
46,1980-10-19,,,1458.9,1351.6,1106.8
64,1991-03-14,758.6,496.0,,1141.6,
61,2019-12-05,,,,220.0,
62,2009-09-05,,283.0,,,
48,1990-10-19,762.5,,1117.2,,
19,1978-08-15,,,1367.4,1555.0,
54,2004-06-30,481.0,,684.3,,
66,1989-08-27,762.2,505.9,,,900.3
35,1983-09-19,,620.0,,1260.8,
32,2007-04-15,396.8,,,570.2,633.9
17,2003-01-29,486.4,334.3,,737.4,650.8
59,2008-01-03,,290.0,,,
25,1975-12-12,1152.9,,1475.3,,
49,1995-01-18,647.7,488.2,1086.3,,
17,2000-10-14,,424.2,888.0,818.7,736.8
22,1982-10-25,,643.8,1367.2,,1001.9
63,1979-07-27,1075.6,591.7,1331.2,,
66,2010-05-02,335.8,,,,
16,1978-11-11,1099.1,599.9,,,1000.7
14,1984-06-25,,598.6,1192.3,1432.8,933.4
17,1992-12-18,,480.7,,1180.1,
55,2013-12-19,280.2,,,,504.2
22,1984-06-28,944.4,,1313.4,,
36,2010-02-16,364.8,,570.8,549.5,543.9
38,1998-06-28,,,985.7,991.2,815.1
59,1988-11-15,864.4,,,1140.4,
19,1981-09-18,,606.1,1392.5,1552.3,1078.3
21,1984-08-30,,528.5,,,939.7
15,2006-11-05,473.6,,,,
32,2015-05-13,218.8,,494.2,358.1,
26,1976-06-21,,,,1664.0,
34,1980-05-08,1136.4,,,1398.7,1058.5
33,1985-10-18,,522.8,1217.1,,899.4
54,2008-11-02,,,,580.2,619.1
39,1984-09-15,1006.9,602.5,,,899.3
30,2018-03-21,151.0,,388.3,,
30,2014-05-18,243.6,,517.6,,
22,1992-08-30,705.9,524.4,,1139.4,
56,2012-01-17,,274.1,,,569.6
24,1984-08-09,1019.6,573.5,,,
36,2010-09-18,,,,,612.2
56,1994-06-04,,450.1,1085.7,1016.4,
39,1977-04-10,1100.2,706.6,1507.9,,1190.2
44,2006-10-05,478.4,,,,
34,2001-11-02,,365.3,766.8,,741.1
29,1990-02-13,788.5,504.5,,1154.5,
51,1986-09-11,,,,,895.0
20,1988-09-07,,,,,952.3
43,1994-02-23,,,1095.8,,877.6
33,1997-09-16,,,,,763.1
24,1993-03-07,708.1,508.8,,,841.3
49,2019-11-23,,162.5,,245.1,402.4
67,1999-03-12,671.5,384.9,958.3,,
50,2005-04-17,445.8,324.4,,735.3,
41,1982-11-01,,,1347.9,1409.4,1014.4
48,2020-09-03,,146.3,,202.0,
31,1987-07-12,,,1312.3,1203.1,898.8
36,1979-03-31,1011.7,,,,
51,1982-01-15,,,1391.7,1415.6,972.8
35,1980-08-19,990.4,585.4,1376.6,,971.2
57,2018-02-11,,,,316.6,485.2
44,1973-09-03,1178.7,728.1,,1559.3,1113.5
51,2004-12-21,490.5,,763.4,,
29,2004-05-26,,368.8,,720.9,703.9
30,1978-12-15,1015.7,,,1550.0,
42,2009-07-10,403.4,289.4,,599.0,531.9
50,1970-03-10,1266.4,,,1655.8,1128.5
25,1980-02-07,,,,,1066.1
44,1973-02-11,1301.3,,,1765.2,1135.9
66,2014-03-09,263.0,219.5,,406.5,508.6
37,2000-05-21,,,,787.3,
26,2008-01-11,406.4,,696.8,633.8,592.5
22,1977-05-10,,,,,1074.8
17,1970-09-06,,742.7,1638.2,1922.7,
58,1978-09-11,,639.7,1491.4,1512.6,
19,2001-06-17,584.7,372.9,788.5,,697.4
15,1984-11-01,,,,,946.4
60,1993-05-25,,,998.3,,841.2
44,1978-07-24,,,1364.5,1555.2,
58,2011-04-02,,287.3,597.6,,550.8
34,1996-07-28,,,,1038.7,836.1
34,1986-03-14,,548.1,,,
21,1983-03-24,903.1,571.6,1447.4,1259.5,981.1
43,2014-02-17,,240.6,467.3,440.1,513.1
29,1991-01-16,,482.9,1192.1,,
35,1996-02-01,687.1,,,,777.5
60,1970-02-20,,,1753.1,,
34,2007-08-17,,,,,670.3
26,1997-01-11,,,1003.9,,817.2
17,1992-08-05,,492.9,,1035.8,
51,1979-07-27,995.7,639.6,,,1148.9
43,1986-02-28,,,,,894.8
20,2018-10-13,,,331.9,,
51,2006-06-19,,303.5,767.1,,583.4
20,1982-06-03,942.9,,,1439.8,999.3
15,2004-04-28,,374.7,,,668.6
55,2001-12-24,594.3,393.8,,767.5,
28,2004-03-24,472.2,,,,707.7
64,2011-01-27,345.1,247.4,604.3,,
29,2013-11-08,,,,,492.5
23,1985-01-27,,,1278.5,1362.6,919.5
23,1993-10-24,,494.3,,1154.6,795.6
35,1996-07-08,,,898.1,970.6,745.9
47,1995-09-22,667.6,468.7,1023.1,,
19,1971-03-17,1251.5,738.0,1529.8,,1239.5
22,2006-12-17,,326.3,707.3,663.2,608.9
39,2005-05-31,478.0,,,674.4,
43,2001-07-12,,411.0,,869.9,
64,1998-11-25,,,889.2,,
40,1975-09-03,,704.1,,1509.4,1116.5
54,2007-11-05,372.1,,620.2,645.0,593.6
46,1981-06-18,,659.6,,,1101.1
40,1995-02-20,677.3,409.7,935.3,972.1,832.1
43,1974-01-05,1174.1,652.3,1664.7,1803.1,1159.7
55,1981-06-02,1107.7,570.2,1506.0,1390.2,
22,2011-03-12,,286.9,603.4,477.4,584.4
53,2007-01-13,391.5,342.1,693.0,,
18,2001-08-29,,362.5,,,
35,1976-06-06,,,,1495.8,1026.4
54,2009-03-30,373.7,,,541.0,
48,2017-12-25,,,,,469.2
56,1985-02-26,,,1197.4,,
55,2001-12-04,556.0,376.2,888.7,817.8,697.4
56,1985-11-15,926.2,,,,
67,2002-06-26,,381.1,855.5,,
58,1984-02-02,893.5,563.7,1304.3,1411.9,974.6
59,2003-07-03,541.8,327.4,790.8,,642.3
65,2008-11-05,,319.1,635.6,,643.5
41,1989-12-13,,,,1280.6,
35,2016-06-11,192.0,206.3,,352.7,
66,2003-11-28,515.5,328.0,828.9,708.3,604.4
24,1973-07-31,,,,,1204.8
34,1978-02-11,1058.4,,1512.5,1532.1,
58,2019-10-19,134.0,,,229.5,
34,2012-04-29,290.4,258.5,,450.4,
23,1983-07-23,,,1420.6,1346.4,
22,2014-09-10,264.7,,,,497.0
35,1996-08-24,698.1,,,,
51,1993-01-31,,,1142.1,989.9,775.0
30,1983-08-29,,598.5,1411.7,,
67,2003-06-06,552.8,,,743.0,
43,1993-09-12,,,,1097.1,852.2
66,2007-03-14,394.0,281.7,,,559.8
24,2002-07-13,524.3,385.6,,,
18,1975-07-25,1096.7,,1472.8,,
46,1988-12-20,,476.4,1216.4,1272.4,913.6
40,1985-05-19,,,,1252.8,
60,2017-02-13,,,444.1,297.9,
15,1980-01-27,,663.9,,,
61,2000-10-19,525.2,359.3,834.9,,788.4
61,1982-06-29,1098.0,,1293.1,,
37,1982-07-26,1020.1,594.8,,,1099.4
60,1998-05-04,,413.3,,997.5,759.3
43,1977-12-13,1147.7,615.2,1421.1,1628.3,1007.2
44,2012-01-10,333.9,263.0,571.2,,488.9
48,1982-04-11,1022.2,,1409.3,,1062.5
34,2012-01-19,,,582.4,,
43,2010-08-05,321.4,289.1,,556.5,
57,1995-06-01,,,,,849.0
60,1971-10-02,,,1703.2,,1132.8
17,2002-02-04,579.5,,835.5,,663.5
63,1999-04-05,671.7,,,836.3,
22,2011-04-26,324.3,,,515.6,
50,2011-11-18,343.3,,573.0,485.0,
31,2001-09-29,601.5,411.8,,782.7,715.6
26,1998-09-16,658.4,,,,
54,1974-09-29,1272.1,651.1,1617.5,1710.1,
19,2002-03-27,,,,808.2,
33,2013-09-12,,,,422.9,
36,1986-09-07,834.1,582.3,,,
18,2020-04-23,,160.8,,,392.7
26,2016-05-19,,190.9,459.2,,426.0
31,1995-05-10,,433.4,,932.2,867.3
36,1985-07-22,,512.9,1163.6,,974.3
31,2002-02-18,,364.1,791.9,825.3,642.0
19,1980-08-09,,568.1,,,1105.9
14,1991-12-22,,471.1,1109.4,1001.3,
39,1997-08-27,,,,,757.9
54,1977-09-30,,608.5,1547.4,1427.1,
32,1981-04-15,1091.9,668.5,,1509.2,930.3
17,1998-06-27,,,,,702.8
27,2008-03-23,,306.5,,633.3,602.1
34,2020-06-23,121.4,163.9,290.9,211.0,
30,1995-01-28,768.4,421.3,1049.8,1011.0,
34,1987-12-23,827.1,,1236.7,,880.0
57,1983-08-18,990.3,628.1,1307.3,1323.9,990.0
34,1985-11-09,966.8,579.6,1215.8,,
61,1987-11-17,893.0,,,1174.6,991.1
26,1987-05-15,,518.8,1237.8,1350.1,
39,1979-10-25,1001.1,,,1381.2,
51,2017-12-09,,172.4,,,472.5
59,1994-02-21,,453.1,,1012.1,
41,2010-12-11,321.7,,524.5,523.7,586.6
62,2013-11-18,242.2,226.7,457.6,450.2,
44,2018-11-07,,,389.0,,431.8
46,1986-09-26,841.2,,1218.2,,
38,1999-06-03,,422.8,899.5,,736.2
28,1997-06-06,,,890.4,,786.4
51,1993-01-30,,500.6,,988.1,774.5
66,1993-06-25,728.3,,,1020.0,861.3
19,1988-07-06,,,,1224.9,839.5
28,2004-04-18,,333.2,,657.3,
31,2000-08-06,,390.1,,,
17,2015-08-30,205.5,231.1,473.7,373.9,490.0
16,1978-10-14,,,1314.5,,1166.2
17,1998-11-14,,443.9,,815.4,787.3
17,2017-01-31,178.8,180.9,380.8,328.7,455.6
43,1973-01-03,,,,,1153.8
61,2006-09-07,395.6,304.4,,,
40,2012-02-05,311.5,,569.1,491.3,
58,1990-05-06,,541.1,1113.1,,859.1
17,2019-05-19,132.9,167.2,,271.4,450.3
40,1996-02-08,,,,,851.2
46,1998-03-30,,,,,791.6
42,1997-06-15,,447.0,,,771.1
23,1977-07-30,,603.2,,1703.3,1135.8
65,1972-10-17,,752.7,1522.2,,1106.2
45,1994-10-15,784.3,,,,
27,2018-02-06,,,,282.9,
32,1984-01-26,988.3,,1335.8,1466.7,
44,2011-08-24,292.2,242.9,610.7,,
46,2000-03-10,,413.5,804.1,777.0,
50,1988-02-19,951.7,522.1,1208.1,,934.9
59,1997-01-07,641.8,,1000.1,,
52,1989-08-11,,467.7,1066.3,1187.4,813.4
66,1980-03-24,1144.4,,,,
16,1987-09-08,,,,,888.5
22,2015-01-27,257.5,222.8,,383.5,
60,1997-06-10,,,1015.6,859.4,798.2
26,2009-10-11,371.6,268.8,,578.1,
47,1993-07-20,,471.1,,959.6,854.7
22,2008-08-30,420.9,,,641.5,
61,2012-02-11,,242.1,,,
51,1980-04-26,1119.6,688.4,,,966.2
47,2010-09-12,348.3,247.6,535.0,,526.8
50,2006-08-26,,331.7,,,
36,2019-12-02,132.1,,362.2,224.5,
26,1983-02-02,1013.6,559.9,,,
26,1976-10-27,1186.3,,,1455.1,
20,1990-10-11,,,1085.5,1228.8,
56,1974-10-11,,762.1,1431.8,1663.8,1180.1
15,1994-10-28,664.5,,1076.0,,891.6
62,1974-07-22,,677.3,,,1175.9
66,1996-11-02,,418.8,1056.8,917.0,797.4
67,2016-02-17,209.6,210.9,,,
51,1984-04-09,868.2,534.2,1438.0,,
36,1971-11-30,1154.6,766.2,,,
31,1998-12-11,636.4,,,870.4,
20,1975-12-30,,682.1,,1757.5,
30,1978-05-13,,,1502.4,,982.7
54,2012-12-19,305.5,223.2,,,534.0
38,1979-12-08,,595.9,,,1014.4
31,2010-11-01,322.8,265.7,,526.9,
52,1988-05-16,,482.7,1199.2,1204.4,936.0
30,1997-02-17,,,1046.3,,
22,1978-09-16,,,1414.0,1426.8,1163.3
40,1996-06-23,,481.6,,1030.5,770.5
59,1980-12-02,1056.7,681.7,1475.0,1463.0,1074.8
62,1984-10-22,1011.5,545.0,1361.8,1396.3,933.6
21,1995-01-25,742.9,,,1047.8,755.2
17,1999-10-26,,411.8,919.8,,
57,2000-01-31,553.4,408.8,914.4,,
24,2013-09-17,298.1,223.2,,,506.8
18,2015-12-28,196.4,,,331.3,450.9
58,1983-07-11,,595.9,1418.3,,
41,1992-04-18,765.1,,1189.5,1172.3,
43,1990-10-04,814.6,475.9,1150.1,,899.9
19,1982-09-26,998.4,659.5,1263.5,1509.7,
31,1980-11-01,963.4,,1535.7,1456.4,1039.0
64,2014-09-29,,,,,459.2
15,1989-08-30,,491.6,,1165.2,
45,1973-02-25,,643.3,1511.8,,
23,1970-12-11,1163.8,,,,1232.7
36,1992-03-07,,509.7,1198.9,1025.3,
41,2018-08-01,,175.1,394.8,281.6,398.8
56,1979-09-21,1020.2,641.3,1463.7,,1047.2
30,1994-02-07,,438.8,1107.8,,775.9
27,1998-07-25,,,930.9,888.4,
53,1974-01-05,,,1598.8,1835.4,
32,1995-10-18,698.1,470.9,1014.0,1057.6,728.6
48,1989-06-12,,495.9,,,896.1
25,1991-01-07,,478.7,1112.7,,
25,2012-01-26,,,,,540.5
66,1993-12-19,,493.8,,,
57,2011-08-24,,263.4,540.6,483.7,525.8
47,2012-01-14,,263.6,589.9,,
37,2011-04-26,,,,545.5,
21,2020-11-06,111.7,,,220.1,380.1
42,1997-08-01,,,973.9,,816.3
19,1996-06-10,,448.2,988.0,934.5,
36,1981-01-05,,,1296.9,,
52,2000-06-05,,,846.9,798.5,690.5
52,2020-08-02,99.8,166.6,,,
26,1991-11-13,,,1058.4,1046.8,877.2
17,1991-02-09,,,,1106.9,907.5
48,1987-11-07,,,1321.4,1255.3,
58,1996-03-11,,420.9,955.6,,
45,2000-01-12,,417.5,802.0,,760.7
44,1980-05-03,1039.2,,,,988.2
37,2014-04-19,269.3,233.9,,434.6,
32,1989-03-13,,,,,849.7
65,2008-07-01,369.2,325.3,,,
25,1980-08-17,1114.2,578.1,,1478.9,
33,1978-09-09,,,1342.1,,1125.9
28,2004-11-25,,312.5,,691.6,694.7
31,2012-03-07,279.6,273.7,528.6,,522.6
64,1987-06-22,817.2,588.9,1217.9,1183.1,997.5
27,1971-05-16,1251.3,666.9,,1728.8,
16,1999-10-24,638.3,,820.9,,
63,1991-12-09,,538.8,,,
59,1982-05-05,,,1368.3,1461.4,966.5
55,2017-12-06,,197.4,401.7,,474.7
24,2002-01-19,,373.4,,,
51,2013-01-06,302.2,238.6,501.1,,
50,2014-06-03,259.4,233.8,527.5,,518.5
26,1973-12-25,,,,,1182.7
